 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
360 0.28326505 0.34983283 -0.18344252 0.07211027 -0.25899294 -0.091789484 -0.13164076 -0.20974666 -0.086353295 -0.023674702 -0.25593248 0.18182705 -0.13711792 -0.1424595 -0.11773816 0.08337875 0.20913415 -0.50466305 0.114871554 0.012963713 0.060031775 0.038809836 0.17636919 -0.32447514 -0.11114047 -0.07282193 0.3666297 -0.12003803 0.15462352 0.19144978 -0.010331111 -0.1378589 -0.22846527 0.008393262 0.1687897 -0.11310004 -0.024761548 0.31337225 -0.014238468 -0.11837545 -0.09560287 -0.120302975 -0.040891048 0.020953683 0.059005152 -0.04755909 -0.2387269 0.17373262 0.018429512 0.070890285 0.020333637 0.22615188 0.21588068 0.20686236 -0.068737715 0.0913591 0.14223102 0.11469645 -0.2210579 0.14525512 -0.18011953 -0.2159922 0.18625277 0.09171016 0.22484246 0.0008795213 0.09582719 -0.24780488 0.15536971 -0.04152746 -0.2196605 -0.11389776 -0.13794127 0.069444574 -0.16343224 0.17458428 -0.02545744 -0.037185546 -0.1682544 0.0074661365 -0.08595007 -0.007139813 0.1596181 -0.051842712 0.18351342 0.17304265 -0.07561689 0.049255993 0.14062403 -0.2703343 -0.0039453576 -0.010456105 0.18167543 -0.2347801 0.1589486 -0.14128527 -0.011352534 0.0076434095 0.26197693 -0.09327906
0 0.2880726 -0.11823535 0.43545973 0.30422422 0.096496224 0.18675144 0.1033904 0.1446024 -0.32082215 -0.0032597429 0.048136476 -0.1149089 0.12432844 0.04903365 0.070173584 -0.15848541 -0.10557002 0.06185451 -0.109642334 0.018085888 -0.2559946 0.29819313 -0.14361334 0.13064308 0.09080233 0.34437224 0.22170866 0.13797446 0.073101014 0.26281723 0.10622511 0.19517988 0.08745738 -0.08903215 0.014458071 0.04048047 -0.13938995 0.022343144 0.14044909 -0.16425179 0.24832188 0.16784298 0.31006506 0.39374533 0.33793607 -0.082413964 -0.16643521 -0.07896521 -0.365656 0.23409753 -0.26392668 -0.19848715 -0.1214348 -0.16610013 0.06855585 -0.17797177 -0.057482075 -0.044364233 -0.11665156 -0.17095277 -0.021225886 -0.18345065 0.3956516 0.100169525 0.051805228 0.29239702 -0.23875387 0.14822991 -0.2066232 -0.08423661 -0.12320793 0.14068101 -0.20528519 -0.118161485 0.21902527 -0.12737298 -0.24066713 0.23950575 -0.23278983 -0.11863933 -0.49702987 0.08499099 -0.1853353 0.01996698 0.2654706 0.03845486 0.22898133 -0.0075186216 0.10222099 0.40827438 0.18940918 0.12645976 -0.3232174 0.28322273 0.2471055 -0.11716194 -0.24480613 -0.012382267 -0.22606505 0.1473939
361 0.06498071 -0.2273248 0.21156749 0.8245229 -0.31519997 -0.5733653 0.2623771 -0.024212306 -0.36467904 -0.0008492974 -0.119545005 -0.05876482 -0.08217915 -0.08788717 -0.31726015 0.33850443 0.38472214 -0.422238 0.029370492 0.35246378 -0.1607548 0.44268858 0.3041328 -0.43369412 -0.058466595 0.076516695 -0.280067 -0.069945574 0.23940471 -0.10593124 -0.46935803 -0.22641188 -0.38887015 0.07826423 0.1431671 0.015293896 0.4778003 -0.106504306 -0.06567233 -0.6759101 -0.2686272 -0.26520798 -0.2510908 -0.18376869 -0.020878179 0.05348404 -0.24931155 0.10308395 0.045331452 -0.13274464 -0.04898219 0.31821072 -0.3549404 -0.31871158 -0.2150453 -0.84185207 0.36532325 0.06250215 -0.086340174 0.5109985 -0.44313288 -0.17840876 -0.032611217 -0.19479701 -0.122323364 -0.19559006 0.011084163 0.09994873 0.41147712 0.023390116 -0.069667265 0.07210322 0.072343685 0.4815825 0.1412982 -0.08032178 0.20618244 0.3744292 0.18091412 -0.17757154 -0.18548657 -0.0755333 0.05535226 -0.18258554 0.4046016 -0.039322793 0.07985754 -0.13892594 0.086316295 -0.23129208 0.37835708 -0.2664895 0.08357184 -0.63007104 -0.15970969 -0.04165145 0.07824269 0.048518397 -0.15496227 -0.29143387
362 -0.04960889 -0.10602081 -0.19721745 0.14875098 -0.010943496 -0.33500215 -0.11551983 0.18007691 0.23560973 -0.102698624 -0.30644682 0.26151264 -0.14601962 -0.14074816 -0.110089175 0.03111095 -0.195546 -0.16728684 0.54843956 -0.18745326 -0.37898272 0.6397534 0.56598806 -1.058896 0.44263 0.02795611 -0.075926274 -0.26461703 0.022029312 0.13123585 -0.018401526 -0.52754134 -0.6744869 -0.005842405 0.44988334 -0.17276098 -0.1075664 0.24040857 -0.502349 -0.4195241 -0.44396606 -0.39726117 -0.1219322 -0.0996287 0.029111039 -0.030410228 -0.488139 0.671344 0.4275219 -0.1371763 -0.06821697 0.36525583 -0.4633991 -0.032417674 -0.23734926 -0.36160493 0.51847404 0.15213093 0.0021108948 0.24991554 -0.4379945 -0.07619564 -0.3375247 -0.35528094 0.20063342 -0.7348333 0.32106996 -0.120199926 0.14910106 0.2656963 0.2570295 -0.35299623 -0.20733896 -0.104788095 -0.22345658 0.1803023 0.28156218 0.025353976 0.5688713 0.15998705 0.12554137 -0.75346684 0.016504586 -0.6124436 0.3029758 0.47485206 -0.36338657 0.36131924 -0.061426323 -0.10817822 0.13898022 0.1924681 0.59768534 -0.34854546 -0.45403114 -0.32982945 0.11775035 0.12954879 0.504625 -0.16966715
363 0.13816208 -0.10812459 0.2884865 -0.28014725 -0.01271557 -0.00137428 0.072220676 0.22900578 -0.06124749 0.32885817 -0.24586584 -0.04400254 0.0044621676 -0.05745637 -0.035518136 0.47656143 0.4424573 -0.030274902 0.13400826 -0.06110003 -0.07937475 0.30125698 0.29962894 -0.08035491 0.032346666 -0.17486069 0.012379459 -0.06721068 -0.23760103 -0.07336321 0.022782957 0.11838348 -0.21967643 0.109263875 0.116344154 -0.09404658 0.13667928 0.12813376 0.14294808 -0.18769689 0.19817924 -0.060423043 0.122282654 0.22230391 -0.0051602526 0.09342614 -0.6011978 -0.21286342 -0.0591867 -0.3908127 0.023529898 -0.02614492 0.032847065 0.13099627 0.025610788 0.17284936 0.21221228 0.020180456 -0.19349806 -0.04272504 0.10035328 0.5169107 0.22214323 0.2639129 -0.050526228 0.35957566 0.18501595 -0.019784167 -0.04944306 -0.27552956 0.18749192 0.14143626 0.055674758 -0.07481756 0.0028901084 0.012892983 -0.0629074 0.11716436 0.06765093 0.27550474 0.17033029 0.4856824 -0.2342814 0.01070971 -0.16968457 0.29534814 0.54378617 0.19121666 -0.4667556 -0.18064673 0.45584226 0.2865866 -0.2651976 -0.02878247 0.02608274 -0.061359286 0.12687139 -0.21454103 -0.1492079 -0.3331077
364 -0.19945616 0.007078179 0.04047497 -0.06420061 0.021238063 0.0058594984 0.12045518 -0.0042666905 -0.053385742 -0.011943548 -0.072579265 -0.12562329 0.091749355 0.4052943 0.14797683 0.0901536 -0.16587119 0.17820853 0.07299722 -0.0854265 -0.016000016 0.008376288 0.045166187 -0.13833965 0.014268811 0.13983372 -0.25870267 -0.2031187 0.33511272 0.116383605 -0.14417829 -0.14166918 -0.39769116 0.10908227 0.040605403 0.053424865 -0.026433988 -0.15932167 -0.09502348 -0.19342905 0.29517767 -0.16771282 0.24129906 0.13205133 0.17693552 -0.0629909 -0.006753871 -0.2462029 -0.14266674 -0.066842854 0.27969468 -0.11240276 0.037756126 -0.0025476364 0.052273974 -0.19657975 0.26700395 0.05013841 0.050329644 -0.26266134 -0.0057539134 0.012141068 0.001377142 0.19290636 0.07020852 -0.010145457 0.14420883 0.05048005 -0.3574823 0.17724016 0.1393291 -0.19541158 0.32275757 0.05118418 -0.1322701 0.01303966 0.14342952 0.048421815 -0.048478674 -0.27770594 0.15956841 -0.08026507 -0.1457561 -0.27254558 -0.025633665 -0.11422346 0.13327019 -0.38977757 0.010451659 -0.36085248 -0.059185386 0.29311743 -0.310455 0.042215243 -0.24644667 -0.3732861 -0.25256452 -0.27234164 -0.18712558 -0.07452713
365 -0.08783408 0.026834678 0.37053928 0.21266836 -0.35949877 -0.28980878 -0.45294943 0.3474557 -0.29043418 0.063637145 -0.09121604 -0.025889447 -0.2487591 0.15984984 -0.1854426 -0.17687958 -0.17352961 0.19985427 -0.09232572 0.1702235 0.14002945 0.18700418 -0.0014834526 -0.20506538 0.25516504 0.047335006 -0.0578444 0.26391125 -0.15718964 -0.060731046 -0.54161114 -0.45376325 -0.23350525 0.17993538 0.16731858 0.09570444 0.26481384 0.105016425 -0.36239177 -0.34870863 -0.0017788181 0.08238288 0.35637054 -0.026848167 -0.2888597 -0.19836757 -0.7870963 0.07742398 0.075781174 0.005848041 0.09300675 0.42795947 -0.27057073 0.108206265 -0.3971975 0.12231364 0.0662857 0.020287579 0.013561242 0.4685872 -0.24878998 -0.18713734 0.007920092 0.28241506 0.20487437 -0.31317553 0.38432786 -0.04673665 -0.1677063 -0.16570273 0.27920616 0.20224287 -0.2004365 0.009916366 0.25785142 0.10240361 -0.04439841 0.23671065 -0.010553676 0.24527833 0.27360502 0.13655683 0.047717612 -0.092323855 0.18896975 0.047734585 0.06617604 -0.032449074 -0.26806846 0.16342776 0.5760295 0.17502482 0.24412449 0.24742576 -0.28276005 -0.07983425 -0.05000969 -0.28328705 0.2582864 -0.36867
366 -0.238108 0.16474223 0.22869189 0.06580051 -0.29753214 -0.18324767 -0.13955952 -0.16538487 -0.044814598 -0.14044216 -0.23119132 0.13510711 -0.045701344 -0.17195676 -0.11322656 0.08186224 0.27941728 -0.42546174 -0.027331542 0.15595318 0.37424582 0.387366 0.066350676 -0.09368736 0.10097397 -0.055852536 -0.20857388 -0.09735201 0.38154644 -0.07620221 -0.020639569 -0.27094644 -0.28106454 0.12953503 0.11706976 -0.22824953 -0.21211669 -0.03402229 0.19839513 -0.28886086 -0.11609914 -0.13050807 0.088962145 0.10331615 0.026446942 0.07900813 -0.09352998 0.21078663 0.1681682 -0.13088784 0.031705897 0.07110176 0.24601462 -0.00964963 -0.012860798 -0.22137213 -0.08208194 -0.0879559 0.053431492 0.0006438135 -0.19138402 0.18870918 -0.12979187 0.21603777 -0.17533094 -0.25398842 -0.040652487 0.27357432 0.25041768 -0.14200231 0.09473361 0.13193479 0.24104193 0.15064989 -0.020283734 0.098689824 0.09004893 0.14890641 0.06719809 0.2569101 0.3885714 -0.1311465 -0.17636526 -0.051676687 0.052749753 0.44477072 0.013617534 0.066556364 -0.4101991 0.11385482 0.054788962 0.1131115 0.02781837 0.04814714 -0.20432107 0.10243667 0.08653014 0.35571885 0.008338461 0.005970309
367 -0.30264157 -0.38269734 0.1819514 0.22126223 -0.07731686 0.13213421 -0.33125308 -0.20499192 0.011465505 0.095873535 -0.47416317 0.067289576 0.13086104 -0.07360145 0.4591154 0.33237624 0.2797243 -0.10614224 -0.09281961 -0.25671628 0.33594483 0.088405445 0.32423833 -0.24448599 -0.22188391 0.31697875 -0.27423573 -0.01840002 -0.299232 -0.34970924 -0.21454468 -0.14985365 -0.40312776 0.11022757 0.024269762 0.54004925 0.025879458 0.82676613 -0.34182838 -0.26510155 -0.45003787 -0.33787426 -0.2089549 -0.10500678 0.09204993 0.11123661 0.09942955 0.29665545 0.13934045 0.11988187 0.21907055 0.24472483 -0.13833396 0.20413633 -0.22862 0.010002232 0.022475667 0.20569724 -0.12203416 0.5106789 -0.09394116 0.0053720735 -0.009490647 -0.25031647 -0.2001403 -0.22578228 0.33344385 -0.047919676 0.34479305 0.03985114 0.5979108 -0.43325165 0.18243015 0.8182329 0.035899397 0.02434985 0.6585454 0.11164427 0.4626553 0.29215086 -0.24727546 -0.0967805 -0.14656371 -0.14912395 0.20297259 0.29981261 -0.1621808 0.26155704 -0.40159562 -0.4469853 0.08372254 0.43123913 0.30667362 0.009336976 -0.06355931 -0.08084012 0.20986949 -0.3773942 -0.020307917 -0.16890027
368 -0.09638374 0.16383371 0.021671621 -0.15749769 -0.14261207 -0.03319409 0.04761376 -0.22458279 0.1341837 0.22005516 -0.08491238 0.1697523 0.04460353 0.18674691 0.27192107 0.025928162 0.16355409 -0.20885128 -0.20702834 -0.15883248 0.12462167 -0.15364587 0.08214943 -0.48017398 0.10672728 -0.014055641 -0.07020628 -0.231481 0.14720191 0.33143887 -0.2278454 -0.011610057 -0.34062546 0.102733396 -0.036530323 0.27366555 -0.09311663 0.17026661 -0.112848535 -0.09843931 0.06697435 -0.083952084 0.032008395 0.026185079 0.19683765 -0.091251515 0.071692064 0.27379686 0.08457285 -0.19212475 -0.061738264 0.022237854 -0.1442005 0.07879485 -0.20497794 0.108099684 0.14675449 0.115635976 0.00838267 0.0005170013 -0.34035432 0.33915886 -0.33894297 0.18730925 0.2242758 0.20505886 0.007925402 -0.011388503 0.19549608 0.27855504 0.08629625 0.19207762 -0.005927552 0.26848307 -0.16077448 0.2024918 0.24381663 0.019533912 0.16567034 -0.2060913 -0.0013264953 0.0605589 0.041978065 -0.27122292 0.16780445 0.05723212 0.001377055 0.13198665 -0.2314109 -0.020951074 0.04730499 0.1256321 -0.024357818 -0.02328373 -0.4819877 -0.037357192 0.30301416 0.17454737 -0.032658722 -0.49531546
