 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
360 -0.35682738 -0.17442492 -0.13000326 -0.092655644 -0.33077377 0.3875906 -0.23226535 -0.1666381 -0.21115386 -0.35551298 -0.10183061 0.29864576 0.1346089 -0.15265575 0.16466445 0.081226744 0.07598555 0.17087182 0.13941325 0.18178062 -0.07032997 -0.107140385 0.42201683 -0.3563814 0.18330055 -0.5180432 -0.2828825 0.08130882 0.40377086 -0.21270888 0.46277443 0.22310397 -0.4494134 1.9002856 1.1106902 0.20626797 0.08183316 -0.8422868 0.06914616 0.20150226 0.16584598 -0.25058633 -0.3967893 0.059724584 -1.1522323 -1.1777365 0.2438819 -0.14330111 0.23846164 -0.13581586 -0.7525622 -0.17428935 0.3718097 0.6335758 -0.22366293 0.1186755 0.53855336 -0.44402394 0.38216224 -0.04246576 0.54963535 1.0076087 -0.36404037 0.08031215 -0.25787672 0.010116439 0.44494635 0.3036406 -0.34082124 0.2936889 -0.044137407 0.06337463 0.06486919 0.268981 -0.019370258 0.18427655 0.008234938 0.3106624 0.15045224 0.030630236 -0.43787357 -0.059562843 -0.15802363 -0.294829 -0.18698777 0.008176856 -0.111963734 0.4503932 0.122124925 -0.09893863 -0.53168833 -0.394047 0.16449146 0.47182283 0.15129986 -0.90389204 -0.2270547 0.43897596 -2.0608308 0.96868527
0 -0.21762238 -0.1132894 0.098423615 0.16343836 -0.30101573 0.3904441 -0.07112205 -0.030169211 0.032245785 0.27771 -0.48463938 0.32127088 0.02912228 0.3062534 -0.1707125 -0.083476014 0.63367045 -0.2190347 0.20846537 0.27449635 0.25719985 -0.13862306 0.52081704 -0.2749818 0.44511458 0.17494504 0.060471058 -0.23281813 0.071909405 -0.29540864 0.7512931 0.46464124 -0.37334627 1.0141871 0.5615701 -0.38992408 0.038120367 -0.40605164 -0.571855 0.8793801 0.20855494 0.22561035 0.12180958 -0.025978517 -0.56277287 -0.6422183 0.03202444 0.13123989 0.12655526 0.18574119 -0.3158341 -0.1947049 -0.024739722 0.6086916 -0.1111166 -0.13361914 0.87261915 0.088308975 0.3010688 0.38176036 0.19029143 0.49666318 -0.27211607 -0.41000283 -0.095689826 0.33443674 0.53871137 0.4855543 -0.35494357 0.33455905 0.43746883 -0.0072230995 0.60032856 -0.09261936 0.16954614 0.08896489 0.079280436 0.96069235 0.3892557 -0.24563351 -1.1113161 -0.34406605 -0.39025122 -0.5619184 -0.0035523167 0.18111232 0.48436767 -0.3510855 0.22512206 0.38709432 -0.2827712 -0.30057725 0.12375247 -0.00059998647 -0.095930636 -0.65089166 -0.14604409 0.4701505 -1.2666085 0.63380414
361 -0.12242243 0.15690345 -0.4888201 -0.0515959 -0.44554797 -0.5195308 0.27290615 0.05691165 -0.118033215 0.026985327 0.66189873 0.70773435 0.35344353 -0.37028158 -0.21837692 0.1921244 0.19812486 -0.13957211 -0.15800819 -0.4036268 0.26570544 -0.077215225 -0.23665777 0.110757954 0.17155384 0.17891842 0.013536544 0.18712129 0.01916694 1.0686938 0.24852313 0.24689986 0.054084033 0.80375624 0.36831662 0.12233556 -0.22370017 -0.25460282 0.24424781 -0.17114784 0.016875166 0.06672982 0.259703 -0.25225857 -0.23405574 -0.4229987 -0.28561708 -0.16144279 0.2415731 0.107036464 -0.4905207 0.45029986 -0.40984738 -0.3300397 0.3207886 -0.15364693 -0.33626184 -0.04914975 0.14394939 -0.16413325 0.49935818 0.24241824 0.121116236 0.3136273 0.18392237 0.19032009 -0.28751484 0.008703201 -0.466966 0.12908393 -0.37714785 0.29655594 -0.31994218 -0.06697655 -0.026003905 0.6883429 -0.20600916 -0.44775617 -0.40010732 0.23096764 0.52860075 -0.22457898 0.08447744 0.26150608 -0.37031716 -0.011891796 -0.12402038 -0.01748539 -0.28890693 -0.0681772 0.40347797 -0.3278299 -0.19903702 0.26790813 0.27354497 -0.43229657 0.0611654 0.8655472 -1.09505 0.26681015
362 0.03857816 0.5382968 0.14144069 0.1100758 -0.533665 -0.4331002 0.24060519 -0.09173727 0.014349062 -0.10479151 0.23988399 0.2648945 -0.12875976 0.09183293 0.04021521 0.0695697 0.11648315 0.14712541 -0.12910162 -0.10830977 -0.23865119 -0.44184908 -0.22829348 0.064881206 -0.08293971 0.18754603 0.573404 0.005425209 0.11181297 0.38818896 0.16252281 -0.26441586 0.15228276 0.7039974 0.24227957 0.17724818 -0.3072835 -0.42970672 -0.13898534 -0.43807927 -0.32090226 -0.08925862 0.16840151 -0.05472034 -0.5562136 -0.7030157 0.005580918 -0.91665757 -0.046114687 0.018540373 -0.7193223 0.5753592 -0.2034513 -0.36827636 -0.14086351 -0.3841086 -0.7590861 -0.13520928 0.10304021 0.1867676 0.42805538 0.33679542 0.37645385 0.5834211 -0.6649367 -0.12125199 -0.30759344 0.14365995 -0.17143294 0.46014836 -0.079662 0.29248697 -0.13663237 -0.27911755 0.05267303 0.003550222 0.65279377 0.31801683 -0.6026907 0.42683184 0.41285908 0.05455909 -0.03965426 0.7394952 -0.002833911 -0.24018426 0.078499146 0.091677345 -0.29127815 -0.089347415 0.4098329 0.048131026 -0.42634472 0.34966058 0.048348323 -0.5445479 -0.03191009 0.489553 -0.67014176 0.39923593
363 -0.14987841 0.39871928 0.06937118 0.15673426 -0.4652951 -0.05600055 0.48484817 -0.09908549 -0.09635885 0.28272542 0.45533487 -0.033073854 0.22308317 -0.45114976 -0.032860547 -0.3750416 -0.19081677 -0.5161496 0.02049043 -0.032133326 -0.050485015 -0.23504336 -0.16501892 -0.17021991 0.024487043 -0.12178307 -0.5105329 0.07959683 -0.055628162 0.20366809 0.39876622 0.31243503 -0.26310432 1.4355001 0.1557632 0.2195557 0.13144031 -0.9234829 -0.026774297 -0.11325641 -0.44783136 0.35352662 -0.24892451 -0.3865199 -0.9112601 -0.5979945 -0.21842395 0.3134703 -0.18442936 -0.028418563 -0.89987004 -0.41060525 -0.2708049 -0.0067138863 -0.57859164 -0.17055093 -0.47935152 0.2091751 -0.31723338 0.20700082 0.50698626 0.8553439 0.3032713 -0.03841531 0.12092449 -0.3866728 -0.44896418 0.4787288 -0.09488572 0.22539075 -0.4091335 -0.33306596 0.4336675 -0.024042914 0.052505113 -0.04641028 -0.28445944 -0.27067047 -0.21052967 -0.12466895 0.26902047 -0.22160468 -0.18194124 -0.1293111 -0.37065056 -0.11563043 0.4333211 0.13341197 0.008966781 -0.5849342 -0.21601395 -0.15094537 0.015836421 0.02192477 -0.060397953 -0.7498758 0.35273576 0.44876584 -1.4781775 0.80100375
364 -0.12150092 -0.36532685 -0.4552169 -0.067933396 -0.062812105 -0.3097539 0.04299068 -0.008260894 -0.0019560424 0.30922353 0.21439314 0.49212885 -0.057501193 -0.3356533 0.05414961 -0.15814582 -0.23207833 0.3814131 -0.26490146 -0.23791733 0.090549 0.053957205 -0.05033185 -0.15413105 0.3607443 -0.4882876 -0.38609418 -0.030702734 0.020503273 0.23960453 0.10238539 -0.2889343 0.0043989597 1.3104472 0.93228424 -0.10670981 -0.37127116 -0.7763589 0.48352584 -0.3916216 0.08553394 -0.18653306 0.19222555 0.336546 -0.5459235 -1.2172185 0.04643105 0.022311186 0.63081485 -0.26066005 -0.5409089 0.064839624 0.41205537 -0.0818001 -0.21293092 -0.06465014 -0.434604 -0.17686732 0.46651185 -0.158486 0.61263466 0.6168377 0.10946451 -0.11406631 -0.18889259 -0.44415092 -0.19350089 0.21275547 0.034956146 0.13974595 -0.33025914 -0.31610096 0.12896541 -0.37114862 0.11506936 -0.08035559 -0.07251077 -0.16361918 0.09798145 0.23758306 0.4754611 -0.09077356 -0.22220644 0.3474431 0.042624548 -0.024423575 0.008669771 0.14624462 -0.026616238 -0.07506096 -0.30252042 -0.33224085 -0.19625355 0.09981858 0.0071517862 -0.64466965 -0.05319901 0.44762358 -1.7751874 0.7564871
365 -0.05403192 -0.14329518 0.048838675 0.22878242 -0.3889144 -0.5383781 0.17096381 0.18763298 -0.11392146 -0.3089071 0.34369797 0.15512967 0.24450721 -0.35777864 -0.33446348 -0.35895678 -0.015575551 0.1701668 0.5840125 0.36039788 -0.043688107 -0.30187756 -0.732102 -0.18930805 -0.08497608 -0.10788253 0.3045427 -0.032191772 0.17702027 0.60462123 -0.10129412 -0.64815307 0.44284394 1.105768 0.22574283 0.19488977 0.078536205 -0.207081 0.0126930745 -0.9794399 -0.057959 -0.025881689 -0.06631717 -0.08397352 -0.5544624 -1.0647895 0.19729944 -0.9068326 0.34567642 0.043437246 -0.6883285 0.3126673 -0.06478932 -0.8722592 0.042248502 -0.50322324 -1.4127532 0.06841906 0.2833269 -0.512889 0.7520369 0.39844042 0.32923695 0.1779864 -0.2801407 -0.42888772 -0.45408985 -0.09078444 -0.3905862 0.3765035 0.10169757 0.2993068 -0.11038628 -0.13226804 -0.020455357 0.07994385 -0.23775603 -0.64618266 -0.17158426 0.7291213 0.5296967 0.01790955 0.19392852 0.31795743 0.3158403 -0.09054195 -0.106787644 0.5379783 -0.8846814 -0.27659744 0.35279137 0.06530417 -0.4489347 -0.20308696 0.05419966 -0.6059122 0.45678452 0.4799207 -1.1024708 0.82972044
366 -0.013254013 0.35053515 0.11537841 0.017928986 -0.26913995 0.00690382 0.29770994 -0.0063933744 -0.34324473 0.043242123 -0.009233775 0.3679637 0.14446875 -0.17508993 -0.124827474 -0.22253214 0.0010774202 -0.15232302 -0.17671517 -0.14477512 -0.0057084463 0.23997314 -0.1225305 -0.05770361 -0.19173597 -0.18399292 -0.27775943 0.14869109 -0.24661894 -0.039066132 0.05738594 0.03379425 0.19420545 0.82090634 0.41067332 -0.1861225 0.09100619 -0.42269138 -0.086067975 -0.41272095 -0.112569444 -0.1080173 -0.016375244 -0.06278132 -0.8612176 -0.8537666 -0.06041668 -0.33862486 -0.24521442 -0.04860567 -0.46758538 -0.18014972 -0.5223371 0.010855656 -0.079356626 -0.07419904 -0.080063276 -0.08019391 0.09234517 0.100129336 0.48520428 0.5676633 0.07808915 -0.093206964 -0.23920609 -0.30130532 -0.28141615 0.20698564 -0.07784462 0.20307316 -0.23784341 -0.078262076 -0.196165 -0.015339087 0.38862637 -0.17176244 -0.034112822 -0.013504381 -0.031703606 0.20738097 0.23006025 0.024334978 -0.044905614 -0.24993247 -0.04800403 -0.23792277 0.26772594 0.06283607 -0.27210325 -0.3099538 0.13744935 -0.049832813 -0.4230117 -0.09232722 0.21709988 -0.33391258 -0.10297119 0.44746128 -0.94464755 0.6148531
367 0.40219522 0.5590881 0.1459983 -0.07537527 -0.06075912 -0.47841766 -0.044431683 -0.28517154 -0.09388478 -0.116946615 0.31692877 0.15271449 0.33324203 -0.3189965 0.28267705 -0.053301685 0.17641667 0.2701236 0.16942735 0.074057296 0.45245504 -0.43521863 -0.3407014 0.29852304 0.05035154 -0.0085419575 0.36348417 0.30815518 -0.12844731 0.33101383 0.08389276 -0.43746063 0.04686617 0.82556623 0.31930935 0.31157276 0.12343847 -0.70481557 0.25466856 -0.7165336 -0.27301422 0.16879728 0.08485027 -0.17520557 -0.63610125 -0.6112304 0.6683853 -0.4738638 -0.0010990014 -0.11240081 -0.5426488 0.034008067 0.07288866 -0.75319433 0.27378604 0.33248314 -0.9716768 -0.3838433 0.18453847 -0.39815468 0.5788589 0.7037168 0.16489017 -0.19606143 0.05205262 -0.6122012 -0.4699041 0.18211576 -0.05867751 0.71597165 -0.29350883 -0.5777788 0.026551602 -0.3552143 0.33769765 0.14579862 -0.29541156 -0.5429784 -0.26765826 0.25381234 0.66942805 -0.015155664 -0.10420313 0.1657797 -0.31127387 -0.30969062 -0.2625598 -0.121783204 -0.39866936 -0.0852362 -0.12627392 0.1592316 -0.061188225 -0.35246697 -0.008391886 -0.12894516 -0.12677133 0.9410793 -1.3523659 0.78397566
368 -0.20752186 0.3967459 0.0036843705 0.1340745 -0.27119488 -0.2606994 0.28304684 -0.01988592 0.010465429 -0.03245216 0.51458865 0.46783036 0.0539606 -0.023247428 0.16578352 0.046185702 -0.2310159 0.14925367 -0.27212614 -0.44505703 0.07120369 -0.08687725 -0.62001294 0.16168176 -0.18562245 -0.13503775 0.10300907 0.30222645 -0.22576725 0.24852727 0.11541393 -0.115098566 0.23021422 0.51315075 0.31722805 -0.32313862 0.043235783 -0.6429789 0.061951336 -0.15272148 -0.23813227 0.1298091 -0.2226416 -0.24546626 -0.2733228 -0.71443784 -0.0045302333 0.043012127 0.23354645 0.1308689 -0.6212712 0.19533937 0.21589111 -0.68645096 -0.25800282 0.04528822 -0.52718836 0.09873157 0.3775422 0.062715314 0.5008697 0.5630471 0.23100334 0.12697627 -0.118732244 -0.28920463 -0.44272617 0.0929403 -0.19021524 0.18125807 -0.2544972 0.018674064 -0.03323332 0.40074584 -0.112404235 -0.351877 0.24768068 -0.31947267 -0.150479 0.028442536 0.41868857 0.3533436 -0.1591669 0.28208652 0.092281245 0.07719918 -0.05141266 0.35977358 -0.28145826 -0.17873631 0.08174827 0.32175195 -0.43031386 -0.028610766 0.120311424 -0.22522554 -0.037081063 0.5190166 -0.8684043 0.45338112
